Warehouse,Loadingtype,Selected Dimension ,Period_Year,Week,Transfer_Quantity
ES01,Unload,Loose,2026,W32,"18,301"
ES01,Unload,Loose,2026,W31,"18,329"
ES01,Unload,Loose,2026,W30,"19,152"
ES01,Unload,Loose,2026,W29,"21,603"
ES01,Unload,Loose,2026,W28,"23,213"
ES01,Unload,Loose,2026,W27,"24,607"
ES01,Unload,Loose,2026,W26,"23,829"
ES01,Unload,Loose,2026,W25,"24,684"
ES01,Unload,Loose,2026,W24,"26,901"
ES01,Unload,Loose,2026,W23,"27,205"
ES01,Unload,Loose,2026,W22,"26,817"
ES01,Unload,Loose,2026,W21,"27,669"
ES01,Unload,Loose,2026,W20,"25,015"
ES01,Unload,Loose,2026,W19,"25,557"
ES01,Unload,Loose,2026,W18,"26,157"
ES01,Unload,Loose,2026,W17,"24,755"
ES01,Unload,Loose,2026,W16,"26,165"
ES01,Unload,Loose,2026,W15,"29,054"
ES01,Unload,Loose,2026,W14,"19,362"
ES01,Unload,Loose,2026,W13,"30,092"
ES01,Unload,Loose,2026,W12,"23,013"
ES01,Unload,Loose,2026,W11,"20,798"
ES01,Unload,Loose,2026,W10,"19,540"
ES01,Unload,Loose,2026,W09,"17,368"
ES01,Unload,Loose,2026,W08,"18,241"
ES01,Unload,Loose,2026,W07,"16,691"
ES01,Unload,Loose,2026,W06,"12,009"
ES01,Unload,Loose,2026,W05,"13,224"
ES01,Unload,Loose,2026,W04,"6,433"
ES01,Unload,Loose,2026,W03,"23,494"
FR03,Load,Loose,2026,W31,6
FR03,Load,Loose,2026,W30,11
FR03,Load,Loose,2026,W28,6
FR03,Load,Loose,2026,W27,12
FR03,Load,Loose,2026,W26,13
FR03,Load,Loose,2026,W24,6
FR03,Load,Loose,2026,W23,6
FR03,Load,Loose,2026,W22,6
FR03,Load,Loose,2026,W21,7
FR03,Load,Loose,2026,W19,6
FR03,Load,Loose,2026,W18,9
FR03,Load,Loose,2026,W17,5
FR03,Load,Loose,2026,W16,11
FR03,Load,Loose,2026,W15,9
FR03,Load,Loose,2026,W14,5
FR03,Load,Loose,2026,W13,5
FR03,Load,Loose,2026,W11,5
FR03,Unload,Loose,2026,W03,"1,969"
FR79,Load,Pallet,2026,W53,"6,343"
FR79,Load,Mixed,2026,W53,"7,752"
FR79,Load,Loose,2026,W53,"67,538"
FR79,Load,Pallet,2026,W52,"5,209"
FR79,Load,Mixed,2026,W52,"6,334"
FR79,Load,Loose,2026,W52,"76,980"
FR79,Load,Pallet,2026,W51,"4,865"
FR79,Load,Mixed,2026,W51,"9,162"
FR79,Load,Loose,2026,W51,"88,645"
FR79,Load,Pallet,2026,W50,"6,670"
FR79,Load,Mixed,2026,W50,"8,249"
FR79,Load,Loose,2026,W50,"67,448"
FR79,Load,Pallet,2026,W49,"8,602"
FR79,Load,Mixed,2026,W49,"10,570"
FR79,Load,Loose,2026,W49,"69,541"
FR79,Load,Pallet,2026,W48,"8,517"
FR79,Load,Mixed,2026,W48,"12,404"
FR79,Load,Loose,2026,W48,"89,621"
FR79,Load,Pallet,2026,W47,"9,844"
FR79,Load,Mixed,2026,W47,"11,360"
FR79,Load,Loose,2026,W47,"94,311"
FR79,Load,Pallet,2026,W46,"7,536"
FR79,Load,Mixed,2026,W46,"8,769"
FR79,Load,Loose,2026,W46,"85,941"
FR79,Load,Pallet,2026,W45,"13,233"
FR79,Load,Mixed,2026,W45,"12,052"
FR79,Load,Loose,2026,W45,"100,778"
FR79,Load,Pallet,2026,W44,"10,395"
FR79,Load,Mixed,2026,W44,"11,137"
FR79,Load,Loose,2026,W44,"92,800"
FR79,Load,Pallet,2026,W43,"10,876"
FR79,Load,Mixed,2026,W43,"10,926"
FR79,Load,Loose,2026,W43,"109,428"
FR79,Load,Pallet,2026,W42,"10,058"
FR79,Load,Mixed,2026,W42,"11,908"
FR79,Load,Loose,2026,W42,"101,797"
FR79,Load,Pallet,2026,W41,"11,308"
FR79,Load,Mixed,2026,W41,"11,080"
FR79,Load,Loose,2026,W41,"102,657"
FR79,Load,Pallet,2026,W40,"8,993"
FR79,Load,Mixed,2026,W40,"12,380"
FR79,Load,Loose,2026,W40,"91,274"
FR79,Load,Pallet,2026,W39,"9,190"
FR79,Load,Mixed,2026,W39,"10,915"
FR79,Load,Loose,2026,W39,"108,330"
FR79,Load,Pallet,2026,W38,"9,316"
FR79,Load,Mixed,2026,W38,"10,110"
FR79,Load,Loose,2026,W38,"99,820"
FR79,Load,Pallet,2026,W37,"12,261"
FR79,Load,Mixed,2026,W37,"10,431"
FR79,Load,Loose,2026,W37,"91,523"
FR79,Load,Pallet,2026,W36,"8,225"
FR79,Load,Mixed,2026,W36,"11,374"
FR79,Load,Loose,2026,W36,"89,844"
FR79,Load,Pallet,2026,W35,"7,147"
FR79,Load,Mixed,2026,W35,"9,895"
FR79,Load,Loose,2026,W35,"84,763"
FR79,Load,Pallet,2026,W34,"6,430"
FR79,Load,Mixed,2026,W34,"8,144"
FR79,Load,Loose,2026,W34,"82,108"
FR79,Load,Pallet,2026,W33,"7,598"
FR79,Load,Mixed,2026,W33,"9,039"
FR79,Load,Loose,2026,W33,"79,684"
FR79,Load,Pallet,2026,W32,"8,308"
FR79,Load,Mixed,2026,W32,"6,980"
FR79,Load,Loose,2026,W32,"80,482"
FR79,Load,Pallet,2026,W31,"4,913"
FR79,Load,Mixed,2026,W31,"8,433"
FR79,Load,Loose,2026,W31,"78,841"
FR79,Load,Pallet,2026,W30,"4,832"
FR79,Load,Mixed,2026,W30,"6,870"
FR79,Load,Loose,2026,W30,"78,114"
FR79,Load,Pallet,2026,W29,"3,492"
FR79,Load,Mixed,2026,W29,"6,173"
FR79,Load,Loose,2026,W29,"70,225"
FR79,Load,Pallet,2026,W28,"7,556"
FR79,Load,Mixed,2026,W28,"7,594"
FR79,Load,Loose,2026,W28,"71,809"
FR79,Load,Pallet,2026,W27,"2,998"
FR79,Load,Mixed,2026,W27,"12,267"
FR79,Load,Loose,2026,W27,"90,267"
FR79,Load,Pallet,2026,W26,"3,645"
FR79,Load,Mixed,2026,W26,"11,795"
FR79,Load,Loose,2026,W26,"88,746"
FR79,Load,Pallet,2026,W25,"3,221"
FR79,Load,Mixed,2026,W25,"11,447"
FR79,Load,Loose,2026,W25,"88,368"
FR79,Load,Pallet,2026,W24,"5,080"
FR79,Load,Mixed,2026,W24,"11,844"
FR79,Load,Loose,2026,W24,"92,463"
FR79,Load,Pallet,2026,W23,"4,601"
FR79,Load,Mixed,2026,W23,"12,336"
FR79,Load,Loose,2026,W23,"80,573"
FR79,Load,Pallet,2026,W22,"3,716"
FR79,Load,Mixed,2026,W22,"11,643"
FR79,Load,Loose,2026,W22,"85,493"
FR79,Load,Pallet,2026,W21,"6,081"
FR79,Load,Mixed,2026,W21,"13,931"
FR79,Load,Loose,2026,W21,"100,998"
FR79,Load,Pallet,2026,W20,"4,775"
FR79,Load,Mixed,2026,W20,"11,180"
FR79,Load,Loose,2026,W20,"78,382"
FR79,Load,Pallet,2026,W19,"6,434"
FR79,Load,Mixed,2026,W19,"9,760"
FR79,Load,Loose,2026,W19,"72,820"
FR79,Load,Pallet,2026,W18,"2,764"
FR79,Load,Mixed,2026,W18,"9,720"
FR79,Load,Loose,2026,W18,"71,483"
FR79,Load,Pallet,2026,W17,"4,237"
FR79,Load,Mixed,2026,W17,"11,773"
FR79,Load,Loose,2026,W17,"97,011"
FR79,Load,Pallet,2026,W16,"3,729"
FR79,Load,Mixed,2026,W16,"12,099"
FR79,Load,Loose,2026,W16,"94,344"
FR79,Load,Pallet,2026,W15,"5,203"
FR79,Load,Mixed,2026,W15,"8,969"
FR79,Load,Loose,2026,W15,"76,469"
FR79,Load,Pallet,2026,W14,"9,193"
FR79,Load,Mixed,2026,W14,"13,746"
FR79,Load,Loose,2026,W14,"113,606"
FR79,Load,Pallet,2026,W13,"4,457"
FR79,Load,Mixed,2026,W13,"12,188"
FR79,Load,Loose,2026,W13,"98,174"
FR79,Load,Pallet,2026,W12,"7,732"
FR79,Load,Mixed,2026,W12,"12,015"
FR79,Load,Loose,2026,W12,"97,309"
FR79,Load,Pallet,2026,W11,"7,771"
FR79,Load,Mixed,2026,W11,"12,133"
FR79,Load,Loose,2026,W11,"93,888"
FR79,Load,Pallet,2026,W10,"16,099"
FR79,Load,Mixed,2026,W10,"13,094"
FR79,Load,Loose,2026,W10,"94,015"
FR79,Load,Pallet,2026,W09,"6,651"
FR79,Load,Mixed,2026,W09,"13,455"
FR79,Load,Loose,2026,W09,"103,273"
FR79,Load,Pallet,2026,W08,"4,326"
FR79,Load,Mixed,2026,W08,"6,775"
FR79,Load,Loose,2026,W08,"86,141"
FR79,Load,Pallet,2026,W07,"5,156"
