Warehouse,Loadingtype,Selected Dimension ,Period_Year,Week,Transfer_Quantity
IT03,Load,Loose,2026,W10,23
IT03,Load,Loose,2026,W09,67
IT03,Load,Loose,2026,W08,26
IT03,Load,Loose,2026,W07,34
IT03,Load,Loose,2026,W06,22
IT03,Load,Loose,2026,W05,"1,464"
IT03,Load,Loose,2026,W04,"1,482"
IT03,Load,Loose,2026,W03,"4,846"
IT03,Unload,Loose,2026,W53,"31,791"
IT03,Unload,Loose,2026,W52,"24,077"
IT03,Unload,Loose,2026,W51,"14,672"
IT03,Unload,Loose,2026,W50,"7,564"
IT03,Unload,Loose,2026,W49,"6,002"
IT03,Unload,Loose,2026,W48,"5,399"
IT03,Unload,Loose,2026,W47,"5,372"
IT03,Unload,Loose,2026,W46,"5,144"
IT03,Unload,Loose,2026,W45,"5,907"
IT03,Unload,Loose,2026,W44,"4,968"
IT03,Unload,Loose,2026,W43,"6,171"
IT03,Unload,Loose,2026,W42,"5,143"
IT03,Unload,Loose,2026,W41,"5,278"
IT03,Unload,Loose,2026,W40,"5,273"
IT03,Unload,Loose,2026,W39,"5,511"
IT03,Unload,Loose,2026,W38,"5,638"
IT03,Unload,Loose,2026,W37,"5,476"
IT03,Unload,Loose,2026,W36,"5,871"
IT03,Unload,Loose,2026,W35,"5,285"
IT03,Unload,Loose,2026,W34,"4,203"
IT03,Unload,Loose,2026,W33,"3,875"
IT03,Unload,Loose,2026,W32,"3,901"
IT03,Unload,Loose,2026,W31,"3,157"
IT03,Unload,Loose,2026,W30,"4,661"
IT03,Unload,Loose,2026,W29,"5,729"
IT03,Unload,Loose,2026,W28,"5,922"
IT03,Unload,Loose,2026,W27,"5,744"
IT03,Unload,Loose,2026,W26,"5,687"
IT03,Unload,Loose,2026,W25,"6,170"
IT03,Unload,Loose,2026,W24,"6,254"
IT03,Unload,Loose,2026,W23,"5,431"
IT03,Unload,Loose,2026,W22,"6,934"
IT03,Unload,Loose,2026,W21,"6,293"
IT03,Unload,Loose,2026,W20,"7,653"
IT03,Unload,Loose,2026,W19,"7,742"
IT03,Unload,Loose,2026,W18,"8,552"
IT03,Unload,Loose,2026,W17,"9,423"
IT03,Unload,Loose,2026,W16,"8,684"
IT03,Unload,Loose,2026,W15,"10,023"
IT03,Unload,Loose,2026,W14,"10,283"
IT03,Unload,Loose,2026,W13,"9,294"
IT03,Unload,Loose,2026,W12,"9,912"
IT03,Unload,Loose,2026,W11,"9,373"
IT03,Unload,Loose,2026,W10,"7,517"
IT03,Unload,Loose,2026,W09,"7,697"
IT03,Unload,Loose,2026,W08,"7,122"
IT03,Unload,Loose,2026,W07,"5,258"
IT03,Unload,Loose,2026,W06,"4,870"
IT03,Unload,Loose,2026,W05,"6,172"
IT03,Unload,Loose,2026,W04,"12,292"
IT03,Unload,Loose,2026,W03,"11,926"
